"col","drone","semmrk","delta"
"3DSpeed","1405","1458","-53"
"AbrChgF","1405","1458","-53"
"AbsY","1405","1458","-53"
"Altitude","1405","1458","-53"
"ApertureV","1405","1458","-53"
"AvgVelB","1405","1458","-53"
"BlurRisk","1405","1458","-53"
"CameraID","1405","1458","-53"
"CapEff","1405","1458","-53"
"CaptureID","0","0","0"
"DateName","1405","1458","-53"
"DateOnly","1405","1458","-53"
"DateTime","1405","1458","-53"
"DateTmFul","1405","1458","-53"
"Dewarp","874","927","-53"
"DirDispl","1405","1458","-53"
"Dist3DP","1405","1458","-53"
"DPIHeight","1405","1458","-53"
"DPIWidth","1405","1458","-53"
"DroneID","1405","1458","-53"
"DronePitc","1405","1458","-53"
"DroneRoll","1405","1458","-53"
"DroneYaw","1405","1458","-53"
"DronModel","1405","1458","-53"
"EstCover","1405","1458","-53"
"EV","1405","1458","-53"
"ExpMode","1405","1458","-53"
"ExpProg","1405","1458","-53"
"ExpTime","1405","1458","-53"
"File","1405","1458","-53"
"FileType","1405","1458","-53"
"Firmware","1405","1458","-53"
"FlightNam","343","1458","-1115"
"FlightNum","343","1458","-1115"
"FNumber","1405","1458","-53"
"FocalLeng","1405","1458","-53"
"FocusDist","0","0","0"
"folder","1405","0","1405"
"folder_path","1405","0","1405"
"Folder1","1405","1458","-53"
"Folder2","1405","1458","-53"
"FormatMod","1405","1458","-53"
"GeoDstP","1405","1458","-53"
"GimAngV","1405","1458","-53"
"GimbPitch","1405","1458","-53"
"GimbRoll","1405","1458","-53"
"GimbYaw","1405","1458","-53"
"GimOffset","1405","1458","-53"
"GPSDatum","1405","1458","-53"
"GpsLat","1405","1458","-53"
"GPSLong","1405","1458","-53"
"GpsStatus","1405","1458","-53"
"GsdCmPx","1405","1458","-53"
"HeatIdx","1405","1458","-53"
"HeightPX","1405","1458","-53"
"IdealOvl","1405","1458","-53"
"ImgQualit","0","0","0"
"IncAngle","1405","1458","-53"
"ISOSpeed","1405","1458","-53"
"Latitude","1405","1458","-53"
"Lens","1405","1458","-53"
"LensPosit","1062","1062","0"
"LensTemp","1062","1062","0"
"LightCons","1405","1458","-53"
"LightSour","1405","1458","-53"
"LinVelI","1405","1458","-53"
"Longitude","1405","1458","-53"
"LrfAbsAlt","1405","1458","-53"
"LRFDist","1405","1458","-53"
"LRFLati","1405","1458","-53"
"LRFLong","1405","1458","-53"
"LRFStatus","1405","1458","-53"
"LRFY","1405","1458","-53"
"LSrcClass","1405","1458","-53"
"MaxApertV","1405","1458","-53"
"Model","1405","1458","-53"
"MrkFile","1405","0","1405"
"MrkFolder","1405","1458","-53"
"MrkPath","1405","0","1405"
"OrtoPot","1405","1458","-53"
"Path","1405","1458","-53"
"PhotoNum","1405","1458","-53"
"PQI","1405","1458","-53"
"PredOver","1405","1458","-53"
"REI","1062","1062","0"
"RelativeY","1405","1458","-53"
"RtkDifAge","1405","1458","-53"
"RtkFlag","1405","1458","-53"
"RTKPrec","1405","1458","-53"
"RtkStab","1405","1458","-53"
"RtkStdHgt","1405","1458","-53"
"RtkStdLat","1405","1458","-53"
"RtkStdLon","1405","1458","-53"
"Segments","0","0","0"
"SensorFPS","1405","1458","-53"
"SensTemp","1405","1458","-53"
"ShotCount","1405","1458","-53"
"ShutPct","1405","1458","-53"
"ShutterSp","1405","1458","-53"
"SizeMB","1405","1458","-53"
"SpdKmH","1405","1458","-53"
"SpdVar","1405","1458","-53"
"StripID","1405","1458","-53"
"TimeOnly","1405","1458","-53"
"TimePrv","1405","1458","-53"
"TrajSmt","1405","1458","-53"
"UTCTime","1405","1458","-53"
"VertStb","1405","1458","-53"
"WhiteBlc","1405","1458","-53"
"WidthPX","1405","1458","-53"
"XSpeed","1405","1458","-53"
"YawErr","1405","1458","-53"
"YSpeed","1405","1458","-53"
"Ytype","1405","1458","-53"
"ZoomRatio","1405","1458","-53"
"ZSpeed","1405","1458","-53"
